Year,File,n_categories,Unfold call idx,Unfold key,Unfold event type,Unfold object type,Unfold dt (s),Read time (s),Drilldown time (s)
2014,./data/BPIC14.jsonocel,10,10,"(Interaction,10)",Assignment,Interaction,1.1602175030857325,35.07023411092814,3.5981536200270057
2016,./data/BPIC16.jsonocel,10,1,"(Session,1)",taken,Session,23.38948100595735,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,2,"(Session,2)",taken,Session,26.693362104007974,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,3,"(Session,3)",taken,Session,28.73003856104333,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,4,"(Session,4)",taken,Session,27.18169094703626,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,5,"(Session,5)",taken,Session,28.128853548085317,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,6,"(Session,6)",taken,Session,27.306932547013275,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,7,"(Session,7)",taken,Session,30.038367453962564,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,8,"(Session,8)",taken,Session,30.00773189193569,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,9,"(Session,9)",taken,Session,21.98473278793972,653.2554410840385,59.799102774006315
2016,./data/BPIC16.jsonocel,10,10,"(Session,10)",taken,Session,28.78141689498443,653.2554410840385,59.799102774006315
2017,./data/BPIC17.jsonocel,10,1,"(Offer,1)",O_Create Offer,Offer,1.265210338984616,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,2,"(Offer,2)",O_Create Offer,Offer,1.5428989789215848,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,3,"(Offer,3)",O_Create Offer,Offer,1.4946471359580755,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,4,"(Offer,4)",O_Create Offer,Offer,1.4964572280878201,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,5,"(Offer,5)",O_Create Offer,Offer,1.5064202680950984,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,6,"(Offer,6)",O_Create Offer,Offer,1.498837886028923,51.59697099705227,3.0051265920046717
2017,./data/BPIC17.jsonocel,10,7,"(Offer,7)",O_Create Offer,Offer,1.4942208580905572,51.59697099705227,3.0051265920046717
